11.8	31.27	11	6.5	17.9
12.5	31.305	12.75	5	15.7
13.1	31.905	13.4	5	16.1
12.3	32.025	12.3	6	15.9
11.3	30.065	10.5	6.5	17.7
12	30.505	11.5	7	18.1
12.1	30	11.5	6.5	18
13.5	35.51	14	5	16.85
13.45	36.09	13.9	5	16.95
12	37.27	12.7	5.5	16.5
12.3	34.205	11	6.5	18
12	33.08	12	6.55	18.5
11.5	32.07	11.4	6	18.15
14.4	32.495	13.2	8	21.85
14.5	32.705	13.3	7.5	21.55
15.6	35.45	14.6	7	21.65
13.6	32.685	13.25	7.5	21.55
13.45	31.735	11.7	8	21.15
13.55	30.41	12	8.5	22.35
15.05	37.24	15.2	6.5	20.5
15.3	34.125	15.25	6.5	20.5
15.15	34.44	15.2	6.5	20.5
14.4	31.85	14.05	8	21.5
13.7	31.975	13.35	7.5	21.35
13.7	32.78	13.25	7.5	21.1
14.5	37.025	14.1	7.5	21.6
15	34.37	14	7.5	21.9
14.45	33.395	14	7.5	21.6
15.3	32.995	14.25	8	22.5
14.2	31.345	12.4	8.5	23
14.25	31.65	12.45	8	23.05
14.5	34.725	13.2	7.5	22.75
14.55	34.37	14.65	5.5	19.1
14.55	34.82	14.4	6	19.3
13.9	37.34	13.7	6	19.2
14.2	32.81	13.3	7.5	20.75
13.7	31.215	12.9	7	20.2
13.45	31.745	13	7.5	20.75
13.65	34	13.45	6.5	18.4
14.4	33.845	14.5	7	20
13.6	40.42	13.4	7	20.05
13.15	39.885	11.95	7.5	20.8
12.9	30.3	11.85	7.5	20.45
12.75	30.14	11.35	8	21.15
12.7	29.63	12	7.5	20.8
18	41.175	17	8	23.65
16.9	34.84	16	9	24.1
17.2	34.29	16	9	24.7
15.55	32.38	14	9	24.5
15.25	32.365	13.2	9	23.85
15.6	34.585	13.4	9	23.95
14.55	33.625	13.8	7.5	21.5
15.8	33.685	15	7	21.5
15.7	34.165	15.15	7	21.55
15.75	34.02	13.3	8	21.55
13.5	33.475	12.2	7.5	22.15
